timestamp,light1,light2,light3,error1,error2,error3,left,right
1762808184.814,58,55,55,-23.000,-20.000,-20.000,22.51,37.49
1762808184.855,58,54,55,-23.000,-19.000,-20.000,2.40,57.60
1762808184.892,59,56,56,-24.000,-21.000,-21.000,-20.82,80.82
1762808184.931,58,55,53,-23.000,-20.000,-18.000,22.63,37.37
1762808184.976,58,55,50,-23.000,-20.000,-15.000,2.40,57.60
1762808185.015,58,56,51,-23.000,-21.000,-16.000,2.40,57.60
1762808185.057,59,54,55,-24.000,-19.000,-20.000,-17.90,77.90
1762808185.097,57,53,53,-22.000,-18.000,-18.000,43.57,16.43
1762808185.130,56,53,53,-21.000,-18.000,-18.000,28.81,31.19
1762808185.169,56,54,53,-21.000,-19.000,-18.000,4.80,55.20
1762808185.207,54,52,53,-19.000,-17.000,-18.000,49.18,10.82
1762808185.249,47,45,44,-12.000,-10.000,-9.000,100.00,-88.46
1762808185.288,48,45,43,-13.000,-10.000,-8.000,-6.23,66.23
1762808185.326,47,42,37,-12.000,-7.000,-2.000,36.63,23.37
1762808185.380,27,18,10,8.000,17.000,25.000,100.00,-100.00
1762808185.422,9,7,2,26.000,28.000,33.000,100.00,-100.00
1762808185.466,4,2,2,31.000,33.000,33.000,100.00,-98.32
1762808185.502,3,1,1,32.000,34.000,34.000,90.84,-30.84
1762808185.539,2,1,2,33.000,34.000,33.000,90.83,-30.83
1762808185.576,2,1,2,33.000,34.000,33.000,69.60,-9.60
1762808185.615,3,3,5,32.000,32.000,30.000,47.78,12.22
1762808185.664,8,8,6,27.000,27.000,29.000,-19.49,79.49
1762808185.730,33,39,42,2.000,-4.000,-7.000,-100.00,100.00
1762808185.779,54,49,44,-19.000,-14.000,-9.000,-100.00,100.00
1762808185.818,53,49,45,-18.000,-14.000,-10.000,28.82,31.18
1762808185.868,55,55,59,-20.000,-20.000,-24.000,-26.18,86.18
1762808185.909,55,50,50,-20.000,-15.000,-15.000,6.00,54.00
1762808185.950,59,56,55,-24.000,-21.000,-20.000,-76.97,100.00
1762808185.988,58,55,53,-23.000,-20.000,-18.000,23.28,36.72
1762808186.029,59,56,56,-24.000,-21.000,-21.000,-18.20,78.20
1762808186.068,60,57,58,-25.000,-22.000,-23.000,-20.71,80.71
1762808186.108,60,56,58,-25.000,-21.000,-23.000,0.00,60.00
1762808186.142,59,56,56,-24.000,-21.000,-21.000,24.85,35.15
1762808186.179,59,56,56,-24.000,-21.000,-21.000,1.20,58.80
1762808186.218,58,56,56,-23.000,-21.000,-21.000,23.27,36.73
1762808186.257,57,52,55,-22.000,-17.000,-20.000,23.76,36.24
1762808186.292,54,51,49,-19.000,-16.000,-14.000,76.32,-16.32
1762808186.352,51,47,30,-16.000,-12.000,5.000,51.05,8.95
1762808186.467,47,6,21,-12.000,29.000,14.000,43.34,16.66
1762808186.564,12,8,4,23.000,27.000,31.000,100.00,-100.00
1762808186.626,15,10,8,20.000,25.000,27.000,15.31,44.69
1762808186.699,20,14,11,15.000,21.000,24.000,-6.81,66.81
1762808186.752,24,17,12,11.000,18.000,23.000,-18.06,78.06
1762808186.803,31,23,17,4.000,12.000,18.000,-74.41,100.00
1762808186.852,39,31,23,-4.000,4.000,12.000,-100.00,100.00
1762808186.899,56,51,44,-21.000,-16.000,-9.000,-100.00,100.00
1762808186.937,59,56,55,-24.000,-21.000,-20.000,-61.84,100.00
1762808186.976,56,56,59,-21.000,-21.000,-24.000,67.18,-7.18
1762808187.016,59,56,58,-24.000,-21.000,-23.000,-59.40,100.00
1762808187.051,60,56,58,-25.000,-21.000,-23.000,-22.64,82.64
1762808187.090,60,56,58,-25.000,-21.000,-23.000,0.00,60.00
1762808187.128,58,56,60,-23.000,-21.000,-25.000,44.97,15.03
1762808187.163,59,57,58,-24.000,-22.000,-23.000,-21.53,81.53
1762808187.202,60,56,58,-25.000,-21.000,-23.000,-20.45,80.45
1762808187.241,58,55,55,-23.000,-20.000,-20.000,43.18,16.82
1762808187.277,54,51,52,-19.000,-16.000,-17.000,95.90,-35.90
1762808187.316,52,52,51,-17.000,-17.000,-16.000,50.94,9.06
1762808187.353,54,54,55,-19.000,-19.000,-20.000,-36.49,96.49
1762808187.394,52,51,53,-17.000,-16.000,-18.000,48.03,11.97
1762808187.430,51,49,50,-16.000,-14.000,-15.000,33.03,26.97
1762808187.474,49,49,47,-14.000,-14.000,-12.000,49.70,10.30
1762808187.514,49,48,47,-14.000,-13.000,-12.000,13.20,46.80
1762808187.554,49,49,47,-14.000,-14.000,-12.000,13.20,46.80
1762808187.596,37,45,45,-2.000,-10.000,-10.000,100.00,-100.00
1762808187.644,27,44,44,8.000,-9.000,-9.000,100.00,-100.00
1762808187.682,25,52,53,10.000,-17.000,-18.000,84.17,-24.17
1762808187.724,13,53,53,22.000,-18.000,-18.000,100.00,-100.00
1762808187.760,6,51,52,29.000,-16.000,-17.000,100.00,-100.00
1762808187.799,6,52,49,29.000,-17.000,-14.000,64.80,-4.80
1762808187.850,24,54,54,11.000,-19.000,-19.000,-100.00,100.00
1762808187.893,51,51,50,-16.000,-16.000,-15.000,-100.00,100.00
1762808187.931,48,52,51,-13.000,-17.000,-16.000,77.41,-17.41
1762808187.981,19,56,55,16.000,-21.000,-20.000,100.00,-100.00
1762808188.018,7,55,56,28.000,-20.000,-21.000,100.00,-100.00
1762808188.074,18,56,58,17.000,-21.000,-23.000,-100.00,100.00
1762808188.117,57,55,57,-22.000,-20.000,-22.000,-100.00,100.00
1762808188.152,58,56,57,-23.000,-21.000,-22.000,-20.42,80.42
1762808188.192,58,55,57,-23.000,-20.000,-22.000,2.40,57.60
1762808188.230,57,54,54,-22.000,-19.000,-19.000,24.77,35.23
1762808188.270,46,53,51,-11.000,-18.000,-16.000,100.00,-100.00
1762808188.315,29,53,52,6.000,-18.000,-17.000,100.00,-100.00
1762808188.362,16,54,55,19.000,-19.000,-20.000,100.00,-100.00
1762808188.411,59,56,59,-24.000,-21.000,-24.000,-100.00,100.00
1762808188.450,57,55,55,-22.000,-20.000,-20.000,45.09,14.91
1762808188.488,60,57,56,-25.000,-22.000,-21.000,-63.11,100.00
1762808188.532,58,55,55,-23.000,-20.000,-20.000,38.92,21.08
1762808188.583,59,56,55,-24.000,-21.000,-20.000,-14.40,74.40
1762808188.626,58,55,53,-23.000,-20.000,-18.000,21.15,38.85
1762808188.667,56,54,52,-21.000,-19.000,-17.000,43.65,16.35
1762808188.706,58,56,55,-23.000,-21.000,-20.000,-38.90,98.90
1762808188.743,57,54,53,-22.000,-19.000,-18.000,25.05,34.95
1762808188.780,58,55,55,-23.000,-20.000,-20.000,-19.22,79.22
1762808188.816,59,56,53,-24.000,-21.000,-18.000,-20.79,80.79
